case_id,predictor,series,run_id,years_from_campaign,value
16,prevalence,run,0,-3.0,0.071037
16,prevalence,run,0,-2.9616,0.066971
16,prevalence,run,0,-2.9233,0.064074
16,prevalence,run,0,-2.8849,0.062782
16,prevalence,run,0,-2.8466,0.064876
16,prevalence,run,0,-2.8082,0.06894
16,prevalence,run,0,-2.7699,0.07215
16,prevalence,run,0,-2.7315,0.076972
16,prevalence,run,0,-2.6932,0.08327
16,prevalence,run,0,-2.6548,0.089485
16,prevalence,run,0,-2.6164,0.098797
16,prevalence,run,0,-2.5781,0.109878
16,prevalence,run,0,-2.5397,0.121057
16,prevalence,run,0,-2.5014,0.131861
16,prevalence,run,0,-2.463,0.14008
16,prevalence,run,0,-2.4247,0.146408
16,prevalence,run,0,-2.3863,0.145555
16,prevalence,run,0,-2.3479,0.141728
16,prevalence,run,0,-2.3096,0.134919
16,prevalence,run,0,-2.2712,0.125926
16,prevalence,run,0,-2.2329,0.116293
16,prevalence,run,0,-2.1945,0.107455
16,prevalence,run,0,-2.1562,0.10089
16,prevalence,run,0,-2.1178,0.094187
16,prevalence,run,0,-2.0795,0.087455
16,prevalence,run,0,-2.0411,0.081086
16,prevalence,run,0,-2.0027,0.07508
16,prevalence,run,0,-1.9644,0.070741
16,prevalence,run,0,-1.926,0.067852
16,prevalence,run,0,-1.8877,0.067125
16,prevalence,run,0,-1.8493,0.068188
16,prevalence,run,0,-1.811,0.071391
16,prevalence,run,0,-1.7726,0.07515
16,prevalence,run,0,-1.7342,0.078636
16,prevalence,run,0,-1.6959,0.084268
16,prevalence,run,0,-1.6575,0.0909
16,prevalence,run,0,-1.6192,0.098948
16,prevalence,run,0,-1.5808,0.110033
16,prevalence,run,0,-1.5425,0.122392
16,prevalence,run,0,-1.5041,0.133328
16,prevalence,run,0,-1.4658,0.142226
16,prevalence,run,0,-1.4274,0.148192
16,prevalence,run,0,-1.389,0.149701
16,prevalence,run,0,-1.3507,0.145671
16,prevalence,run,0,-1.3123,0.138557
16,prevalence,run,0,-1.274,0.129648
16,prevalence,run,0,-1.2356,0.120085
16,prevalence,run,0,-1.1973,0.111209
16,prevalence,run,0,-1.1589,0.10339
16,prevalence,run,0,-1.1205,0.096778
16,prevalence,run,0,-1.0822,0.090726
16,prevalence,run,0,-1.0438,0.084182
16,prevalence,run,0,-1.0055,0.077819
16,prevalence,run,0,-0.9671,0.072685
16,prevalence,run,0,-0.9288,0.070236
16,prevalence,run,0,-0.8904,0.070418
16,prevalence,run,0,-0.8521,0.072058
16,prevalence,run,0,-0.8137,0.073913
16,prevalence,run,0,-0.7753,0.077137
16,prevalence,run,0,-0.737,0.081847
16,prevalence,run,0,-0.6986,0.086276
16,prevalence,run,0,-0.6603,0.093117
16,prevalence,run,0,-0.6219,0.102613
16,prevalence,run,0,-0.5836,0.115752
16,prevalence,run,0,-0.5452,0.129814
16,prevalence,run,0,-0.5068,0.142169
16,prevalence,run,0,-0.4685,0.151803
16,prevalence,run,0,-0.4301,0.15865
16,prevalence,run,0,-0.3918,0.159722
16,prevalence,run,0,-0.3534,0.155907
16,prevalence,run,0,-0.3151,0.148404
16,prevalence,run,0,-0.2767,0.139067
16,prevalence,run,0,-0.2384,0.12825
16,prevalence,run,0,-0.2,0.117683
16,prevalence,run,0,-0.1616,0.109463
16,prevalence,run,0,-0.1233,0.101409
16,prevalence,run,0,-0.0849,0.09362
16,prevalence,run,0,-0.0466,0.086313
16,prevalence,run,0,-0.0082,0.079776
16,prevalence,run,0,0.0301,0.075578
16,prevalence,run,0,0.0685,0.072275
16,prevalence,run,0,0.1068,0.071027
16,prevalence,run,0,0.1452,0.070477
16,prevalence,run,0,0.1836,0.071247
16,prevalence,run,0,0.2219,0.071043
16,prevalence,run,0,0.2603,0.072639
16,prevalence,run,0,0.2986,0.074862
16,prevalence,run,0,0.337,0.078392
16,prevalence,run,0,0.3753,0.083114
16,prevalence,run,0,0.4137,0.089826
16,prevalence,run,0,0.4521,0.097876
16,prevalence,run,0,0.4904,0.105749
16,prevalence,run,0,0.5288,0.115078
16,prevalence,run,0,0.5671,0.121015
16,prevalence,run,0,0.6055,0.122323
16,prevalence,run,0,0.6438,0.120542
16,prevalence,run,0,0.6822,0.11298
16,prevalence,run,0,0.7205,0.104556
16,prevalence,run,0,0.7589,0.096183
16,prevalence,run,0,0.7973,0.088582
16,prevalence,run,0,0.8356,0.081173
16,prevalence,run,0,0.874,0.07581
16,prevalence,run,0,0.9123,0.070734
16,prevalence,run,0,0.9507,0.064808
16,prevalence,run,0,0.989,0.060228
16,prevalence,run,0,1.0274,0.055564
16,prevalence,run,0,1.0658,0.053737
16,prevalence,run,0,1.1041,0.053478
16,prevalence,run,0,1.1425,0.054997
16,prevalence,run,0,1.1808,0.056864
16,prevalence,run,0,1.2192,0.060002
16,prevalence,run,0,1.2575,0.063327
16,prevalence,run,0,1.2959,0.067614
16,prevalence,run,0,1.3342,0.073013
16,prevalence,run,0,1.3726,0.081083
16,prevalence,run,0,1.411,0.089874
16,prevalence,run,0,1.4493,0.100729
16,prevalence,run,0,1.4877,0.111484
16,prevalence,run,0,1.526,0.121045
16,prevalence,run,0,1.5644,0.127702
16,prevalence,run,0,1.6027,0.131283
16,prevalence,run,0,1.6411,0.129361
16,prevalence,run,0,1.6795,0.124559
16,prevalence,run,0,1.7178,0.116363
16,prevalence,run,0,1.7562,0.108539
16,prevalence,run,0,1.7945,0.100431
16,prevalence,run,0,1.8329,0.092488
16,prevalence,run,0,1.8712,0.085921
16,prevalence,run,0,1.9096,0.07918
16,prevalence,run,0,1.9479,0.072854
16,prevalence,run,0,1.9863,0.067686
16,prevalence,run,0,2.0247,0.062956
16,prevalence,run,0,2.063,0.060446
16,prevalence,run,0,2.1014,0.059929
16,prevalence,run,0,2.1397,0.061886
16,prevalence,run,0,2.1781,0.065293
16,prevalence,run,0,2.2164,0.068106
16,prevalence,run,0,2.2548,0.071055
16,prevalence,run,0,2.2932,0.074896
16,prevalence,run,0,2.3315,0.081157
16,prevalence,run,0,2.3699,0.088384
16,prevalence,run,0,2.4082,0.09756
16,prevalence,run,0,2.4466,0.108919
16,prevalence,run,0,2.4849,0.122312
16,prevalence,run,0,2.5233,0.132946
16,prevalence,run,0,2.5616,0.140886
16,prevalence,run,0,2.6,0.143801
16,prevalence,run,0,2.6384,0.143627
16,prevalence,run,0,2.6767,0.137931
16,prevalence,run,0,2.7151,0.128376
16,prevalence,run,0,2.7534,0.11845
16,prevalence,run,0,2.7918,0.109393
16,prevalence,run,0,2.8301,0.10151
16,prevalence,run,0,2.8685,0.093823
16,prevalence,run,0,2.9068,0.08613
16,prevalence,run,0,2.9452,0.078512
16,prevalence,run,0,2.9836,0.073869
16,prevalence,run,1,-3.0,0.077183
16,prevalence,run,1,-2.9616,0.072821
16,prevalence,run,1,-2.9233,0.070573
16,prevalence,run,1,-2.8849,0.070078
16,prevalence,run,1,-2.8466,0.071461
16,prevalence,run,1,-2.8082,0.074718
16,prevalence,run,1,-2.7699,0.078638
16,prevalence,run,1,-2.7315,0.082512
16,prevalence,run,1,-2.6932,0.085223
16,prevalence,run,1,-2.6548,0.090419
16,prevalence,run,1,-2.6164,0.098891
16,prevalence,run,1,-2.5781,0.109493
16,prevalence,run,1,-2.5397,0.12254
16,prevalence,run,1,-2.5014,0.135066
16,prevalence,run,1,-2.463,0.14529
16,prevalence,run,1,-2.4247,0.149673
16,prevalence,run,1,-2.3863,0.149857
16,prevalence,run,1,-2.3479,0.145198
16,prevalence,run,1,-2.3096,0.137441
16,prevalence,run,1,-2.2712,0.127355
16,prevalence,run,1,-2.2329,0.116315
16,prevalence,run,1,-2.1945,0.108099
16,prevalence,run,1,-2.1562,0.10033
16,prevalence,run,1,-2.1178,0.092515
16,prevalence,run,1,-2.0795,0.085875
16,prevalence,run,1,-2.0411,0.078666
16,prevalence,run,1,-2.0027,0.072108
16,prevalence,run,1,-1.9644,0.06835
16,prevalence,run,1,-1.926,0.067004
16,prevalence,run,1,-1.8877,0.067235
16,prevalence,run,1,-1.8493,0.068577
16,prevalence,run,1,-1.811,0.071913
16,prevalence,run,1,-1.7726,0.075324
16,prevalence,run,1,-1.7342,0.079859
16,prevalence,run,1,-1.6959,0.083867
16,prevalence,run,1,-1.6575,0.089708
16,prevalence,run,1,-1.6192,0.099205
16,prevalence,run,1,-1.5808,0.111435
16,prevalence,run,1,-1.5425,0.124351
16,prevalence,run,1,-1.5041,0.13771
16,prevalence,run,1,-1.4658,0.147867
16,prevalence,run,1,-1.4274,0.155594
16,prevalence,run,1,-1.389,0.155249
16,prevalence,run,1,-1.3507,0.151814
16,prevalence,run,1,-1.3123,0.144212
16,prevalence,run,1,-1.274,0.13469
16,prevalence,run,1,-1.2356,0.124032
16,prevalence,run,1,-1.1973,0.115193
16,prevalence,run,1,-1.1589,0.106696
16,prevalence,run,1,-1.1205,0.098669
16,prevalence,run,1,-1.0822,0.09105
16,prevalence,run,1,-1.0438,0.083807
16,prevalence,run,1,-1.0055,0.077541
16,prevalence,run,1,-0.9671,0.073748
16,prevalence,run,1,-0.9288,0.070645
16,prevalence,run,1,-0.8904,0.06974
16,prevalence,run,1,-0.8521,0.070926
16,prevalence,run,1,-0.8137,0.074444
16,prevalence,run,1,-0.7753,0.077498
16,prevalence,run,1,-0.737,0.082111
16,prevalence,run,1,-0.6986,0.087662
16,prevalence,run,1,-0.6603,0.094612
16,prevalence,run,1,-0.6219,0.104193
16,prevalence,run,1,-0.5836,0.116006
