name,day,years,prevalence,cases
Withdraw,2190,-3.0,0.44937128,2.0863774
Withdraw,2204,-2.9616438356164383,0.45082673,1.1856627
Withdraw,2218,-2.9232876712328766,0.43830267,0.65803707
Withdraw,2232,-2.884931506849315,0.41571212,0.6134801
Withdraw,2246,-2.8465753424657536,0.39317778,0.5646448
Withdraw,2260,-2.808219178082192,0.37651777,0.5685766
Withdraw,2274,-2.76986301369863,0.3615201,0.57431114
Withdraw,2288,-2.7315068493150685,0.3467532,0.58274305
Withdraw,2302,-2.6931506849315068,0.3335613,0.5939746
Withdraw,2316,-2.654794520547945,0.3221221,0.6144109
Withdraw,2330,-2.6164383561643834,0.31250608,0.6439107
Withdraw,2344,-2.578082191780822,0.3047194,0.680228
Withdraw,2358,-2.5397260273972604,0.29886246,0.73396826
Withdraw,2372,-2.5013698630136987,0.29523996,0.8082434
Withdraw,2386,-2.463013698630137,0.29415944,0.8928524
Withdraw,2400,-2.4246575342465753,0.29551238,0.98597145
Withdraw,2414,-2.3863013698630136,0.29862297,1.0684111
Withdraw,2428,-2.347945205479452,0.30240077,1.0988216
Withdraw,2442,-2.3095890410958906,0.30560833,1.0723295
Withdraw,2456,-2.271232876712329,0.3072347,1.0019195
Withdraw,2470,-2.232876712328767,0.30672553,0.89121556
Withdraw,2484,-2.1945205479452055,0.30385357,0.79271936
Withdraw,2498,-2.1561643835616437,0.29869822,0.7338698
Withdraw,2512,-2.117808219178082,0.29255807,0.75172734
Withdraw,2526,-2.0794520547945203,0.2883684,0.8423251
Withdraw,2540,-2.041095890410959,0.28896707,0.9928405
Withdraw,2554,-2.0027397260273974,0.2939223,1.1477959
Withdraw,2568,-1.9643835616438357,0.29886463,1.2840033
Withdraw,2582,-1.926027397260274,0.30501983,1.3920925
Withdraw,2596,-1.8876712328767122,0.31464583,1.4715824
Withdraw,2610,-1.8493150684931507,0.32452592,1.4987202
Withdraw,2624,-1.810958904109589,0.33205622,1.4984171
Withdraw,2638,-1.7726027397260273,0.33716702,1.499809
Withdraw,2652,-1.7342465753424658,0.34073865,1.5085757
Withdraw,2666,-1.6958904109589041,0.34380275,1.5234947
Withdraw,2680,-1.6575342465753424,0.3471091,1.5516875
Withdraw,2694,-1.6191780821917807,0.35098246,1.5975294
Withdraw,2708,-1.5808219178082192,0.35547364,1.6522214
Withdraw,2722,-1.5424657534246575,0.36073083,1.7330661
Withdraw,2736,-1.5041095890410958,0.3672263,1.8594317
Withdraw,2750,-1.4657534246575343,0.37547398,2.0113313
Withdraw,2764,-1.4273972602739726,0.38537556,2.175857
Withdraw,2778,-1.389041095890411,0.39596868,2.3054657
Withdraw,2792,-1.3506849315068492,0.40575567,2.346793
Withdraw,2806,-1.3123287671232877,0.41318858,2.264617
Withdraw,2820,-1.273972602739726,0.41713703,2.0751648
Withdraw,2834,-1.2356164383561643,0.41723052,1.814714
Withdraw,2848,-1.1972602739726028,0.4137879,1.5696712
Withdraw,2862,-1.158904109589041,0.40756583,1.3981125
Withdraw,2876,-1.1205479452054794,0.40021312,1.3790231
Withdraw,2890,-1.082191780821918,0.39471242,1.5025849
Withdraw,2904,-1.0438356164383562,0.39403856,1.7040699
Withdraw,2918,-1.0054794520547945,0.3986566,1.9510057
